NAME,C02003_003E,C02003_001E,state,congressional district,num_white,total,percent_white
"Congressional District 10 (116th Congress), Texas",624164,875936,48,10,624164.0,875936.0,71.2568041500749
"Congressional District 35 (116th Congress), Texas",610164,825790,48,35,610164.0,825790.0,73.88851887283691
"Congressional District 22 (116th Congress), Texas",547714,911440,48,22,547714.0,911440.0,60.09325901869569
"Congressional District 19 (116th Congress), Texas",605379,727765,48,19,605379.0,727765.0,83.18330779853386
"Congressional District 16 (116th Congress), Texas",590864,737398,48,16,590864.0,737398.0,80.12823468466146
"Congressional District 24 (116th Congress), Texas",509828,802353,48,24,509828.0,802353.0,63.54160824475012
"Congressional District 33 (116th Congress), Texas",475819,739374,48,33,475819.0,739374.0,64.3543051283924
"Congressional District 11 (116th Congress), Texas",664102,772210,48,11,664102.0,772210.0,86.00018129783349
"Congressional District 15 (116th Congress), Texas",653918,786367,48,15,653918.0,786367.0,83.15684661233242
"Congressional District 23 (116th Congress), Texas",638336,769173,48,23,638336.0,769173.0,82.98991254243194
"Congressional District 12 (116th Congress), Texas",640519,811608,48,12,640519.0,811608.0,78.91974943568817
"Congressional District 8 (116th Congress), Texas",709269,858427,48,08,709269.0,858427.0,82.62426508019901
"Congressional District 34 (116th Congress), Texas",662343,721500,48,34,662343.0,721500.0,91.8008316008316
"Congressional District 30 (116th Congress), Texas",378945,782114,48,30,378945.0,782114.0,48.45137665353133
"Congressional District 18 (116th Congress), Texas",385211,778625,48,18,385211.0,778625.0,49.47323807994863
"Congressional District 2 (116th Congress), Texas",529837,794851,48,02,529837.0,794851.0,66.65865677969833
"Congressional District 20 (116th Congress), Texas",664020,809092,48,20,664020.0,809092.0,82.06977698457035
"Congressional District 31 (116th Congress), Texas",642071,856506,48,31,642071.0,856506.0,74.96398157164106
"Congressional District 25 (116th Congress), Texas",646722,783085,48,25,646722.0,783085.0,82.58643697682882
"Congressional District 32 (116th Congress), Texas",527515,774063,48,32,527515.0,774063.0,68.14884576578393
"Congressional District 21 (116th Congress), Texas",692798,810719,48,21,692798.0,810719.0,85.45476299432973
"Congressional District 3 (116th Congress), Texas",591381,867470,48,03,591381.0,867470.0,68.17307803151694
"Congressional District 4 (116th Congress), Texas",608969,751164,48,04,608969.0,751164.0,81.07004595534397
"Congressional District 13 (116th Congress), Texas",605099,710097,48,13,605099.0,710097.0,85.21356941375615
"Congressional District 26 (116th Congress), Texas",676678,874507,48,26,676678.0,874507.0,77.37822567458008
"Congressional District 9 (116th Congress), Texas",285415,782123,48,09,285415.0,782123.0,36.49234199735847
"Congressional District 28 (116th Congress), Texas",660520,750087,48,28,660520.0,750087.0,88.05911847559017
"Congressional District 1 (116th Congress), Texas",556825,719958,48,01,556825.0,719958.0,77.34131713238827
"Congressional District 7 (116th Congress), Texas",512060,787830,48,07,512060.0,787830.0,64.99625553736212
"Congressional District 6 (116th Congress), Texas",508690,785330,48,06,508690.0,785330.0,64.77404403244495
"Congressional District 17 (116th Congress), Texas",583266,771317,48,17,583266.0,771317.0,75.61949237473048
"Congressional District 36 (116th Congress), Texas",614003,743455,48,36,614003.0,743455.0,82.58778271717858
"Congressional District 29 (116th Congress), Texas",559860,745825,48,29,559860.0,745825.0,75.06586665772802
"Congressional District 27 (116th Congress), Texas",631980,740124,48,27,631980.0,740124.0,85.38839437715843
"Congressional District 14 (116th Congress), Texas",540507,751606,48,14,540507.0,751606.0,71.91360899194524
"Congressional District 5 (116th Congress), Texas",568584,751567,48,05,568584.0,751567.0,75.65313538247422
