NAME,C02003_003E,state,zip code tabulation area,GEOID,percent
ZCTA5 76704,2019,48,76704,4876704,2.019
ZCTA5 76682,2531,48,76682,4876682,2.531
ZCTA5 76692,9535,48,76692,4876692,9.535
ZCTA5 76706,29236,48,76706,4876706,29.236
ZCTA5 79547,689,48,79547,4879547,0.689
ZCTA5 79102,8126,48,79102,4879102,8.126
ZCTA5 79830,7370,48,79830,4879830,7.37
ZCTA5 79837,173,48,79837,4879837,0.173
ZCTA5 79839,1509,48,79839,4879839,1.509
ZCTA5 79845,4509,48,79845,4879845,4.509
ZCTA5 79854,48,48,79854,4879854,0.048
ZCTA5 79934,19112,48,79934,4879934,19.112
ZCTA5 79938,66578,48,79938,4879938,66.578
ZCTA5 79411,5780,48,79411,4879411,5.78
ZCTA5 79506,689,48,79506,4879506,0.689
ZCTA5 79838,4484,48,79838,4879838,4.484
ZCTA5 79852,583,48,79852,4879852,0.583
ZCTA5 79905,17817,48,79905,4879905,17.817
ZCTA5 79906,3745,48,79906,4879906,3.745
ZCTA5 79935,15445,48,79935,4879935,15.445
ZCTA5 79936,97904,48,79936,4879936,97.904
ZCTA5 79942,22,48,79942,4879942,0.022
ZCTA5 79040,1690,48,79040,4879040,1.69
ZCTA5 79018,300,48,79018,4879018,0.3
ZCTA5 79744,735,48,79744,4879744,0.735
ZCTA5 79846,105,48,79846,4879846,0.105
ZCTA5 79718,647,48,79718,4879718,0.647
ZCTA5 79834,142,48,79834,4879834,0.142
ZCTA5 79061,403,48,79061,4879061,0.403
ZCTA5 79095,2138,48,79095,4879095,2.138
ZCTA5 79925,35096,48,79925,4879925,35.096
ZCTA5 79525,2107,48,79525,4879525,2.107
ZCTA5 79528,634,48,79528,4879528,0.634
ZCTA5 79533,405,48,79533,4879533,0.405
ZCTA5 79539,142,48,79539,4879539,0.142
ZCTA5 79543,1095,48,79543,4879543,1.095
ZCTA5 79545,1745,48,79545,4879545,1.745
ZCTA5 79549,13868,48,79549,4879549,13.868
ZCTA5 79556,11198,48,79556,4879556,11.198
ZCTA5 79562,3740,48,79562,4879562,3.74
ZCTA5 79566,376,48,79566,4879566,0.376
ZCTA5 79714,16464,48,79714,4879714,16.464
ZCTA5 79741,191,48,79741,4879741,0.191
ZCTA5 79763,32248,48,79763,4879763,32.248
ZCTA5 79777,203,48,79777,4879777,0.203
ZCTA5 76565,104,48,76565,4876565,0.104
ZCTA5 76574,14878,48,76574,4876574,14.878
ZCTA5 76637,506,48,76637,4876637,0.506
ZCTA5 76653,1162,48,76653,4876653,1.162
ZCTA5 76665,2377,48,76665,4876665,2.377
ZCTA5 76670,1305,48,76670,4876670,1.305
ZCTA5 76690,1001,48,76690,4876690,1.001
ZCTA5 76693,1222,48,76693,4876693,1.222
ZCTA5 76705,23386,48,76705,4876705,23.386
ZCTA5 76862,187,48,76862,4876862,0.187
ZCTA5 76871,692,48,76871,4876871,0.692
ZCTA5 76890,1092,48,76890,4876890,1.092
ZCTA5 76930,96,48,76930,4876930,0.096
ZCTA5 76937,30,48,76937,4876937,0.03
ZCTA5 76940,109,48,76940,4876940,0.109
ZCTA5 76958,134,48,76958,4876958,0.134
ZCTA5 76953,100,48,76953,4876953,0.1
ZCTA5 76116,35223,48,76116,4876116,35.223
ZCTA5 76132,18666,48,76132,4876132,18.666
ZCTA5 76225,2959,48,76225,4876225,2.959
ZCTA5 76233,3122,48,76233,4876233,3.122
ZCTA5 76249,8001,48,76249,4876249,8.001
ZCTA5 76253,290,48,76253,4876253,0.29
ZCTA5 76255,5131,48,76255,4876255,5.131
ZCTA5 76266,14633,48,76266,4876266,14.633
ZCTA5 76270,1810,48,76270,4876270,1.81
ZCTA5 76271,1722,48,76271,4876271,1.722
ZCTA5 76351,1955,48,76351,4876351,1.955
ZCTA5 76354,10560,48,76354,4876354,10.56
ZCTA5 76371,1139,48,76371,4876371,1.139
ZCTA5 76377,770,48,76377,4876377,0.77
ZCTA5 76384,9450,48,76384,4876384,9.45
ZCTA5 76389,1348,48,76389,4876389,1.348
ZCTA5 75032,27532,48,75032,4875032,27.532
ZCTA5 75057,10485,48,75057,4875057,10.485
ZCTA5 75058,2391,48,75058,4875058,2.391
ZCTA5 75065,10701,48,75065,4875065,10.701
ZCTA5 75647,10463,48,75647,4875647,10.463
ZCTA5 75559,4047,48,75559,4875559,4.047
ZCTA5 75563,3911,48,75563,4875563,3.911
ZCTA5 75630,1879,48,75630,4875630,1.879
ZCTA5 75602,12782,48,75602,4875602,12.782
ZCTA5 75604,23656,48,75604,4875604,23.656
ZCTA5 75633,10454,48,75633,4875633,10.454
ZCTA5 75644,10872,48,75644,4875644,10.872
ZCTA5 75650,9055,48,75650,4875650,9.055
ZCTA5 75657,5243,48,75657,4875657,5.243
ZCTA5 75603,4193,48,75603,4875603,4.193
ZCTA5 75652,12325,48,75652,4875652,12.325
ZCTA5 75686,9361,48,75686,4875686,9.361
ZCTA5 75706,7116,48,75706,4875706,7.116
ZCTA5 75766,21935,48,75766,4875766,21.935
ZCTA5 75789,6866,48,75789,4875789,6.866
ZCTA5 75845,2719,48,75845,4875845,2.719
ZCTA5 75850,651,48,75850,4875850,0.651
ZCTA5 75855,2192,48,75855,4875855,2.192
ZCTA5 75930,2014,48,75930,4875930,2.014
ZCTA5 75944,1249,48,75944,4875944,1.249
ZCTA5 75964,15061,48,75964,4875964,15.061
ZCTA5 75977,141,48,75977,4875977,0.141
ZCTA5 75980,2266,48,75980,4875980,2.266
ZCTA5 75764,166,48,75764,4875764,0.166
ZCTA5 75840,5202,48,75840,4875840,5.202
ZCTA5 75853,405,48,75853,4875853,0.405
ZCTA5 75859,1443,48,75859,4875859,1.443
ZCTA5 75933,1006,48,75933,4875933,1.006
ZCTA5 75934,42,48,75934,4875934,0.042
ZCTA5 75941,6650,48,75941,4875941,6.65
ZCTA5 75961,10663,48,75961,4875961,10.663
ZCTA5 75972,3681,48,75972,4875972,3.681
ZCTA5 75074,35295,48,75074,4875074,35.295
ZCTA5 75088,19848,48,75088,4875088,19.848
ZCTA5 75089,22850,48,75089,4875089,22.85
ZCTA5 75101,459,48,75101,4875101,0.459
ZCTA5 77088,22918,48,77088,4877088,22.918
ZCTA5 77090,14629,48,77090,4877090,14.629
ZCTA5 77098,10544,48,77098,4877098,10.544
ZCTA5 77326,46,48,77326,4877326,0.046
ZCTA5 77327,19332,48,77327,4877327,19.332
ZCTA5 77334,92,48,77334,4877334,0.092
ZCTA5 77304,26855,48,77304,4877304,26.855
ZCTA5 77306,12099,48,77306,4877306,12.099
ZCTA5 77331,6316,48,77331,4877331,6.316
ZCTA5 77011,14621,48,77011,4877011,14.621
ZCTA5 77012,12815,48,77012,4877012,12.815
ZCTA5 77013,14125,48,77013,4877013,14.125
ZCTA5 77449,73338,48,77449,4877449,73.338
ZCTA5 77450,53551,48,77450,4877450,53.551
ZCTA5 77456,1002,48,77456,4877456,1.002
