,district,year,w%
32,08,2012,83.67537990288486
33,08,2013,83.5000062355111
34,08,2014,83.35763503661472
35,08,2015,82.97475333643884
36,08,2016,82.70402587193139
37,08,2017,82.60697811213275
38,08,2018,82.7560777286272
39,08,2019,82.62426508019901
88,14,2012,70.55864889978281
89,14,2013,71.01406041803394
90,14,2014,71.48161530555865
91,14,2015,71.61899294369447
92,14,2016,71.74939711302085
93,14,2017,71.68337607833995
94,14,2018,71.53403661301505
95,14,2019,71.91360899194524
120,18,2012,45.49603733671267
121,18,2013,46.02530662000797
122,18,2014,46.37990243875452
123,18,2015,46.80985436306421
124,18,2016,46.99359852156649
125,18,2017,47.47256792424753
126,18,2018,48.1441505030378
127,18,2019,49.47323807994863
168,26,2012,80.62462599378793
169,26,2013,81.14004969567603
170,26,2014,80.70850471009685
171,26,2015,80.16209292013599
172,26,2016,79.6842167402054
173,26,2017,78.88082413453613
174,26,2018,78.13439540460813
175,26,2019,77.37822567458008
192,31,2012,76.76335864778818
193,31,2013,76.8483279347953
194,31,2014,76.88931971106074
195,31,2015,76.59190971234767
196,31,2016,76.36253032034126
197,31,2017,75.77484801856883
198,31,2018,75.33923510016774
199,31,2019,74.96398157164106
224,03,2012,73.83475146940825
225,03,2013,73.23584628478339
226,03,2014,72.41335956632636
227,03,2015,71.58556300764182
228,03,2016,70.85746411966849
229,03,2017,70.01665149367207
230,03,2018,68.7950397809379
231,03,2019,68.17307803151694
256,27,2012,84.58838800431154
257,27,2013,84.4258967480021
258,27,2014,84.87489761540482
259,27,2015,85.07876195059264
260,27,2016,84.86255635952872
261,27,2017,85.37554697273467
262,27,2018,85.69587384106948
263,27,2019,85.38839437715843
272,32,2012,65.21260378502521
273,32,2013,64.23942196238356
274,32,2014,64.99161432561962
275,32,2015,66.00109420385755
276,32,2016,67.1840130663993
277,32,2017,67.80313397656825
278,32,2018,68.70799006146201
279,32,2019,68.14884576578393
280,35,2012,65.25584711922419
281,35,2013,68.73631174767124
282,35,2014,71.48841987704252
283,35,2015,73.50653633569459
284,35,2016,74.95197868406798
285,35,2017,74.88725245517445
286,35,2018,74.23035215238662
287,35,2019,73.88851887283691
